title,brand,price,rating,total reviews,stock,link
Yonex EZONE Game Tennis Racquet (Blue) Prestrung,Yonex,169.95,4.6,3,Only 8 left in stock.,https://amazon.ca/Yonex-EZONE-Tennis-Racquet-Prestrung/dp/B09HF69F92/ref=sr_1_66?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-66
Wilson US Open Tennis Racket,Wilson,0,4.3,39,,https://amazon.ca/Wilson-Electronics-WRT30560U3-Open-Tns/dp/B07MTN8KV1/ref=sr_1_67?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-67
Head Radical Jr Tennis Racquet - Beginners Pre-Strung Head Light Balance Kids Racket,Head,44.95,4.6,397,In Stock,https://amazon.ca/HEAD-Radical-Tennis-Racquet-Pre-Strung/dp/B08MN452SH/ref=sr_1_68?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-68
"WILSON Minions 103 Adult Recreational Tennis Racket - Grip Size 3-4 3/8"", Yellow/Black",Wilson,136.35,,7,In Stock,https://amazon.ca/Wilson-Sporting-Goods-Minions-Yellow/dp/B08SMNRBSF/ref=sr_1_69?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-69
Head Graphene XT Radical MP Tennis Racquet,Head,159.49,,76,,https://amazon.ca/HEAD-0726424221837-Graphene-XT-RADICA/dp/B01B8DB3NU/ref=sr_1_70?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-70
Yonex VCORE Ace Tennis Racquet Strung (4 1/8),Yonex,109.95,4.7,5,In Stock,https://amazon.ca/YONEX-VCORE-Tennis-Racquet-Tango/dp/B08S2F9SL1/ref=sr_1_71?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-71
Wilson Clash 108 Tennis Racquet,Wilson,220.0,,30,,https://amazon.ca/Wilson-Clash-108-Tennis-Racquet/dp/B07SPHB189/ref=sr_1_72?keywords=tennis+racket&qid=1687976066&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-72
Head Graphene 360+ Instinct LITE Tennis Racquet - Strung,Head,159.95,4.3,24,In Stock,https://amazon.ca/HEAD-Graphene-Instinct-Racquet-Performance/dp/B08GQ9T48P/ref=sr_1_73?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-73
Head Metallix Spark Tour Stealth Tennis Racket - Pre-Strung Adult Tennis Racquet for Control,Head,103.47,,64,,https://amazon.ca/HEAD-Metallix-Stealth-Tennis-Racket/dp/B08X71XP6K/ref=sr_1_74?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-74
Head Graphene XT Radical MP Tennis Racquet,Head,159.49,,76,,https://amazon.ca/HEAD-0726424221837-Graphene-XT-RADICA/dp/B01B8DB3NU/ref=sr_1_75?keywords=tennis+racket&qid=1687976067&refinements=p_89%3ABabolat%7CHEAD%7CWilson%7CYONEX&rnid=7590290011&s=sports&sr=1-75
